Date,Close,buy_signal,sell_signal,RSI
22:00,26.4,,,
22:01,26.37,,,
22:02,26.33,,,
22:03,26.34,,,
22:04,26.35,,,
22:05,26.34,,,
22:06,26.35,,,
22:07,26.33,,,
22:08,26.33,,,
22:09,26.36,,,
22:10,26.35,,,
22:11,26.39,,,
22:12,26.38,,,
22:13,26.34,,,
22:14,26.34,,,38.46153846153909
22:15,26.34,,,43.47826086956529
22:16,26.33,,,50.0
22:17,26.34,,,50.0
22:18,26.35,,,50.0
22:19,26.35,,,52.63157894736871
22:20,26.4,,,60.8695652173905
22:21,26.41,,,68.18181818181841
22:22,26.41,,,68.18181818181841
22:23,26.4,,,59.999999999999645
22:24,26.4,,,63.15789473684102
22:25,26.38,,,47.0588235294114
22:26,26.38,,,50.0
22:27,26.355,,,55.17241379310354
22:28,26.32,,,44.44444444444466
22:29,26.34,,,50.0
16:30,25.96,,,17.54385964912305
16:31,25.92,,,15.000000000000014
16:32,25.91,,,13.333333333333087
16:33,25.82,,,11.594202898550506
16:34,25.76,,,4.285714285714462
16:35,25.73,,,2.777777777777729
16:36,25.72,,,2.7397260273971966
16:37,25.665,,,2.5806451612902777
16:38,25.64,,,2.499999999999943
16:39,25.625,,,2.5157232704401906
16:40,25.625,,,2.5157232704401906
16:41,25.59,,,2.4844720496894013
16:42,25.55,,,2.469135802469083
16:43,25.58,,,3.6585365853655816
16:44,25.685,,,24.770642201834576
16:45,25.73,,,32.727272727272634
16:46,25.66,,,29.508196721311464
16:47,25.81,,,49.25373134328346
16:48,25.875,,,58.51851851851839
16:49,25.855,,,59.39849624060152
16:50,25.82,,,57.24637681159433
16:51,25.72,,,53.74149659863944
16:52,25.74,,,56.849315068493
16:53,25.71,,,55.70469798657726
16:54,25.705,,,55.33333333333322
16:55,25.68,,,56.08108108108108
16:56,25.66,,,57.63888888888886
16:57,25.64,,,54.22535211267621
16:58,25.67,,,48.818897637795516
16:59,25.58,,,38.97058823529402
17:00,25.63,,,47.727272727272656
17:01,25.63,,,32.35294117647079
17:02,25.615,,,21.73913043478271
17:03,25.605,,,22.2222222222224
17:04,25.64,,,30.000000000000156
17:05,25.645,,,39.43661971830997
17:06,25.66,,,38.57142857142887
17:07,25.67,,,43.93939393939417
17:08,25.695,,,48.57142857142886
17:09,25.69,,,51.51515151515174
17:10,25.735,,,60.56338028169003
17:11,25.69,,,56.57894736842116
17:12,25.7,,,54.16666666666638
17:13,25.725,,,74.57627118644166
17:14,25.755,,,72.72727272727343
17:15,25.78,,,75.00000000000088
17:16,25.83,,,82.08955223880689
17:17,25.85,,,85.50724637681222
17:18,25.88,,,85.29411764705935
17:19,25.89,,,85.50724637681222
17:20,25.89,,,84.84848484848547
17:21,25.98,,,87.80487804878098
17:22,26.0,,,87.65432098765484
17:23,25.995,,,87.65432098765484
17:24,26.005,,,86.48648648648702
17:25,26.01,,,98.48484848484878
17:26,26.035,,,98.55072463768144
17:27,26.06,,,98.55072463768143
17:28,26.065,,,98.43750000000031
17:29,26.06,,,96.66666666666616
17:30,26.045,,,90.56603773584962
17:31,26.04,,,87.99999999999955
17:32,26.095,,,89.09090909090877
17:33,26.11,,,89.28571428571392
17:34,26.09,,,83.33333333333314
17:35,26.135,,,80.39215686274503
17:36,26.125,,,75.51020408163218
17:37,26.12,,,75.51020408163218
17:38,26.135,,,75.99999999999977
17:39,26.12,,,71.15384615384562
17:41,26.14,nan,nan,67.39130434782592
17:42,26.16,nan,nan,69.38775510204022
